Model,Accuracy_mean,Accuracy_std,Dip_F1_mean,Dip_F1_std,Flash_F1_mean,Flash_F1_std,Vol_F1_mean,Vol_F1_std,Normal_F1_mean,Normal_F1_std,Macro_F1_mean,Macro_F1_std
Baseline_CSVM,0.6895,0.07446611323415518,0.5758267327209715,0.14326973841379123,0.8774777073108612,0.0743194310020298,0.6342619388022874,0.12661721884296936,0.6309266476940433,0.15643903964612738,0.6796232566320408,0.079921329720384
Baseline_QSVM,0.6622499999999999,0.08634665569374966,0.5744025017737631,0.16222624176895337,0.821032321072535,0.08919437806597154,0.581327491333542,0.12366219359524669,0.6477972260080148,0.13552271840452446,0.6561398850469636,0.08942851161509766
Hybrid_Cascading,0.69625,0.08619151508546113,0.5942607814165762,0.1606169378351964,0.8656402740033781,0.07368640982883964,0.6313230259734433,0.12925546854335704,0.6648734082290483,0.13468595931173086,0.6890243724056114,0.09053928764836698
Hybrid_Fusion,0.7140000000000001,0.08229044398784811,0.6289363258230131,0.144120609757133,0.8739265610998684,0.07595062712821185,0.6520657857435485,0.1312023919867983,0.6749398920055133,0.12827013658682426,0.7074671411679858,0.08577238284112393
Hybrid_Stacking,0.6977500000000001,0.08334052999227896,0.6153351949377255,0.14863362661076274,0.8569508466586135,0.08539000522891972,0.6305664036598551,0.12483109796609526,0.671878563812909,0.13310313890572625,0.6936827522672757,0.0859322590431705
